source,target,relation,prior_weight,lag_corr,best_lag_5min,calibrated_weight
前山安检口/前山1通道,前山安检口/前山2通道,same_security_gate,0.92,0.7118318274418898,0,0.8471411396046615
前山安检口/前山2通道,前山安检口/前山1通道,same_security_gate,0.92,0.7118318274418897,0,0.8471411396046614
前山安检口/前山1通道,前山安检口/前山3通道,same_security_gate,0.92,0.7087716593894129,0,0.8460700807862946
前山安检口/前山3通道,前山安检口/前山1通道,same_security_gate,0.92,0.7087716593894128,0,0.8460700807862945
前山安检口/前山2通道,前山安检口/前山3通道,same_security_gate,0.92,0.7079992707835429,0,0.84579974477424
前山安检口/前山3通道,前山安检口/前山2通道,same_security_gate,0.92,0.7079992707835429,0,0.84579974477424
外餐安检口/外餐1通道,外餐安检口/外餐2通道,same_security_gate,0.92,0.7082567772790582,0,0.8458898720476704
外餐安检口/外餐2通道,外餐安检口/外餐1通道,same_security_gate,0.92,0.7082567772790583,0,0.8458898720476705
外餐安检口/外餐1通道,外餐安检口/外餐3通道,same_security_gate,0.92,0.7043624918463837,0,0.8445268721462343
外餐安检口/外餐3通道,外餐安检口/外餐1通道,same_security_gate,0.92,0.7043624918463838,0,0.8445268721462345
外餐安检口/外餐1通道,外餐安检口/外餐4通道,same_security_gate,0.92,0.7119465793295378,0,0.8471813027653383
外餐安检口/外餐4通道,外餐安检口/外餐1通道,same_security_gate,0.92,0.7119465793295378,0,0.8471813027653383
外餐安检口/外餐1通道,外餐安检口/外餐5通道,same_security_gate,0.92,0.7059127645550216,0,0.8450694675942576
外餐安检口/外餐5通道,外餐安检口/外餐1通道,same_security_gate,0.92,0.7059127645550215,0,0.8450694675942576
外餐安检口/外餐1通道,外餐安检口/外餐6通道,same_security_gate,0.92,0.7056103566540495,0,0.8449636248289174
外餐安检口/外餐6通道,外餐安检口/外餐1通道,same_security_gate,0.92,0.7056103566540495,0,0.8449636248289174
外餐安检口/外餐2通道,外餐安检口/外餐3通道,same_security_gate,0.92,0.7127667416074867,0,0.8474683595626205
外餐安检口/外餐3通道,外餐安检口/外餐2通道,same_security_gate,0.92,0.7127667416074865,0,0.8474683595626203
外餐安检口/外餐2通道,外餐安检口/外餐4通道,same_security_gate,0.92,0.7027388638403954,0,0.8439586023441384
外餐安检口/外餐4通道,外餐安检口/外餐2通道,same_security_gate,0.92,0.7027388638403954,0,0.8439586023441384
外餐安检口/外餐2通道,外餐安检口/外餐5通道,same_security_gate,0.92,0.6991109643733746,0,0.8426888375306811
外餐安检口/外餐5通道,外餐安检口/外餐2通道,same_security_gate,0.92,0.6991109643733746,0,0.8426888375306811
外餐安检口/外餐2通道,外餐安检口/外餐6通道,same_security_gate,0.92,0.7120920717769014,0,0.8472322251219155
外餐安检口/外餐6通道,外餐安检口/外餐2通道,same_security_gate,0.92,0.7120920717769015,0,0.8472322251219155
外餐安检口/外餐3通道,外餐安检口/外餐4通道,same_security_gate,0.92,0.7050440140474062,0,0.8447654049165922
外餐安检口/外餐4通道,外餐安检口/外餐3通道,same_security_gate,0.92,0.7050440140474062,0,0.8447654049165922
外餐安检口/外餐3通道,外餐安检口/外餐5通道,same_security_gate,0.92,0.6969656815433474,0,0.8419379885401717
外餐安检口/外餐5通道,外餐安检口/外餐3通道,same_security_gate,0.92,0.6969656815433474,0,0.8419379885401717
外餐安检口/外餐3通道,外餐安检口/外餐6通道,same_security_gate,0.92,0.7101371872500537,0,0.8465480155375189
外餐安检口/外餐6通道,外餐安检口/外餐3通道,same_security_gate,0.92,0.7101371872500536,0,0.8465480155375188
外餐安检口/外餐4通道,外餐安检口/外餐5通道,same_security_gate,0.92,0.6968905714038853,0,0.84191169999136
外餐安检口/外餐5通道,外餐安检口/外餐4通道,same_security_gate,0.92,0.6968905714038853,0,0.84191169999136
外餐安检口/外餐4通道,外餐安检口/外餐6通道,same_security_gate,0.92,0.7013417518127629,0,0.8434696131344671
外餐安检口/外餐6通道,外餐安检口/外餐4通道,same_security_gate,0.92,0.7013417518127629,0,0.8434696131344671
外餐安检口/外餐5通道,外餐安检口/外餐6通道,same_security_gate,0.92,0.6959319226587732,0,0.8415761729305707
外餐安检口/外餐6通道,外餐安检口/外餐5通道,same_security_gate,0.92,0.6959319226587733,0,0.8415761729305707
global:ticket,前山安检口/前山1通道,ticket_to_gate,0.72,0.629813751918158,6,0.6884348131713552
前山安检口/前山1通道,global:ticket,ticket_to_gate,0.72,0.5803611243052951,0,0.6711263935068532
global:rail,前山安检口/前山1通道,rail_to_gate,0.76,0.49382061895250245,12,0.6668372166333759
前山安检口/前山1通道,global:rail,rail_to_gate,0.76,0.3517409346843904,0,0.6171093271395367
global:ticket,前山安检口/前山2通道,ticket_to_gate,0.72,0.6320620764578739,6,0.6892217267602558
前山安检口/前山2通道,global:ticket,ticket_to_gate,0.72,0.5807874055392909,0,0.6712755919387517
global:rail,前山安检口/前山2通道,rail_to_gate,0.76,0.49378540817407884,12,0.6668248928609276
前山安检口/前山2通道,global:rail,rail_to_gate,0.76,0.34091352696621563,0,0.6133197344381756
global:ticket,前山安检口/前山3通道,ticket_to_gate,0.72,0.6326634525334968,6,0.6894322083867238
前山安检口/前山3通道,global:ticket,ticket_to_gate,0.72,0.5781203982077214,0,0.6703421393727025
global:rail,前山安检口/前山3通道,rail_to_gate,0.76,0.49144655270264037,12,0.6660062934459241
前山安检口/前山3通道,global:rail,rail_to_gate,0.76,0.3486957172036218,0,0.6160435010212677
global:ticket,外餐安检口/外餐1通道,ticket_to_gate,0.72,0.6309672505192007,6,0.6888385376817202
外餐安检口/外餐1通道,global:ticket,ticket_to_gate,0.72,0.581951055170101,0,0.6716828693095354
global:rail,外餐安检口/外餐1通道,rail_to_gate,0.76,0.4968249978973076,12,0.6678887492640577
外餐安检口/外餐1通道,global:rail,rail_to_gate,0.76,0.35641899902182717,0,0.6187466496576396
global:ticket,外餐安检口/外餐2通道,ticket_to_gate,0.72,0.6351815286305933,6,0.6903135350207076
外餐安检口/外餐2通道,global:ticket,ticket_to_gate,0.72,0.5828369893496982,0,0.6719929462723944
global:rail,外餐安检口/外餐2通道,rail_to_gate,0.76,0.4997370650616367,12,0.6689079727715729
外餐安检口/外餐2通道,global:rail,rail_to_gate,0.76,0.35380225388476483,0,0.6178307888596677
global:ticket,外餐安检口/外餐3通道,ticket_to_gate,0.72,0.626169725654482,6,0.6871594039790687
外餐安检口/外餐3通道,global:ticket,ticket_to_gate,0.72,0.5791264686608151,0,0.6706942640312852
global:rail,外餐安检口/外餐3通道,rail_to_gate,0.76,0.49901603363117253,12,0.6686556117709104
外餐安检口/外餐3通道,global:rail,rail_to_gate,0.76,0.3460676245323088,0,0.6151236685863082
global:ticket,外餐安检口/外餐4通道,ticket_to_gate,0.72,0.6323085893583161,6,0.6893080062754107
外餐安检口/外餐4通道,global:ticket,ticket_to_gate,0.72,0.5791212189773253,0,0.6706924266420637
global:rail,外餐安检口/外餐4通道,rail_to_gate,0.76,0.4883369987166289,12,0.6649179495508202
外餐安检口/外餐4通道,global:rail,rail_to_gate,0.76,0.34446856675115656,0,0.6145639983629049
global:ticket,外餐安检口/外餐5通道,ticket_to_gate,0.72,0.6327233534092808,6,0.6894531736932482
外餐安检口/外餐5通道,global:ticket,ticket_to_gate,0.72,0.5834900219598985,0,0.6722215076859644
global:rail,外餐安检口/外餐5通道,rail_to_gate,0.76,0.4940188616758461,12,0.6669066015865461
外餐安检口/外餐5通道,global:rail,rail_to_gate,0.76,0.3452540432551863,0,0.6148389151393152
global:ticket,外餐安检口/外餐6通道,ticket_to_gate,0.72,0.6282674921582265,6,0.6878936222553792
外餐安检口/外餐6通道,global:ticket,ticket_to_gate,0.72,0.5747673398851532,0,0.6691685689598036
global:rail,外餐安检口/外餐6通道,rail_to_gate,0.76,0.4934538726566917,12,0.6667088554298422
外餐安检口/外餐6通道,global:rail,rail_to_gate,0.76,0.35417061348086476,0,0.6179597147183027
